Function,File,Line,Class,Call_Count,Unique_Callers,Unique_Files,Status
load,config.py,78,EmailOpsConfig,23,22,8,Used
load,search_and_draft.py,2270,ChatSession,23,22,8,Used
load,unified_config.py,116,UnifiedConfig,23,22,8,Used
get_secrets_dir,config.py,87,EmailOpsConfig,1,1,1,Used
_is_valid_service_account_json,config.py,111,EmailOpsConfig,2,1,1,Used
get_credential_file,config.py,174,EmailOpsConfig,1,1,1,Used
update_environment,config.py,199,EmailOpsConfig,2,2,2,Used
update_environment,unified_config.py,98,UnifiedConfig,2,2,2,Used
to_dict,config.py,242,EmailOpsConfig,2,2,2,Used
to_dict,llm_runtime.py,113,VertexAccount,2,2,2,Used
to_dict,unified_config.py,94,UnifiedConfig,2,2,2,Used
get_config,config.py,275,,3,3,3,Used
reset_config,config.py,288,,0,0,0,Unused
load_conversation,conversation_loader.py,23,,6,5,2,Used
_load_manifest_json,conversation_loader.py,124,,1,1,1,Used
_collect_attachment_files,conversation_loader.py,175,,1,1,1,Used
_normalize_provider,doctor.py,33,,8,8,2,Used
_normalize_provider,index_metadata.py,133,,8,8,2,Used
_try_import,doctor.py,69,,2,2,1,Used
_requirements_file_candidates,doctor.py,94,,1,1,1,Used
_find_requirements_file,doctor.py,103,,1,1,1,Used
_install_packages,doctor.py,111,,2,1,1,Used
_packages_for_provider,doctor.py,140,,1,1,1,Used
check_and_install_dependencies,doctor.py,189,,3,3,2,Used
present,doctor.py,194,,3,1,1,Used
missing,doctor.py,205,,4,1,1,Used
_load_mapping,doctor.py,253,,7,7,2,Used
_load_mapping,search_and_draft.py,514,,7,7,2,Used
_get_index_statistics,doctor.py,259,,1,1,1,Used
_summarize_index_compat,doctor.py,272,,1,1,1,Used
_probe_embeddings,doctor.py,290,,1,1,1,Used
_configure_logging,doctor.py,310,,1,1,1,Used
main,doctor.py,320,,6,1,6,Used
main,emailops_gui.py,2641,,6,1,6,Used
main,email_indexer.py,1042,,6,1,6,Used
main,processor.py,538,,6,1,6,Used
main,search_and_draft.py,2700,,6,1,6,Used
main,summarize_email_thread.py,1946,,6,1,6,Used
__init__,emailops_gui.py,50,QueueHandler,3,1,1,Used
__init__,emailops_gui.py,88,TaskController,3,1,1,Used
__init__,emailops_gui.py,193,LabeledSpinbox,3,1,1,Used
__init__,emailops_gui.py,227,EmailOpsApp,3,1,1,Used
__init__,processing_utils.py,121,BatchProcessor,3,1,1,Used
__init__,processing_utils.py,184,TextPreprocessor,3,1,1,Used
__init__,text_chunker.py,186,TextChunker,3,1,1,Used
emit,emailops_gui.py,54,QueueHandler,0,0,0,Unused
configure_logging,emailops_gui.py,61,,1,1,1,Used
start,emailops_gui.py,96,TaskController,5,4,1,Used
done,emailops_gui.py,107,TaskController,1,1,1,Used
cancel,emailops_gui.py,115,TaskController,0,0,0,Unused
cancelled,emailops_gui.py,119,TaskController,4,4,1,Used
busy,emailops_gui.py,123,TaskController,0,0,0,Unused
set_progress,emailops_gui.py,127,TaskController,0,0,0,Unused
get_status,emailops_gui.py,133,TaskController,0,0,0,Unused
run_with_progress,emailops_gui.py,140,,15,15,1,Used
decorator,emailops_gui.py,142,,0,0,0,Unused
wrapper,emailops_gui.py,143,,0,0,0,Unused
wrapper,processing_utils.py,97,,0,0,0,Unused
set_buttons_state,emailops_gui.py,151,,2,1,1,Used
start_progress,emailops_gui.py,156,,1,1,1,Used
stop_progress,emailops_gui.py,160,,1,1,1,Used
update_progress,emailops_gui.py,164,,35,16,1,Used
show_error,emailops_gui.py,170,,1,1,1,Used
task_wrapper,emailops_gui.py,174,,0,0,0,Unused
_reset_config,emailops_gui.py,199,EmailOpsApp,0,0,0,Unused
print_total_chunks,emailops_gui.py,271,EmailOpsApp,0,0,0,Unused
ui_call,emailops_gui.py,280,EmailOpsApp,72,12,1,Used
runner,emailops_gui.py,289,EmailOpsApp,0,0,0,Unused
_on_ui_thread,emailops_gui.py,304,EmailOpsApp,1,1,1,Used
_safe_messagebox,emailops_gui.py,307,EmailOpsApp,2,1,1,Used
_set_tree_row_status,emailops_gui.py,315,EmailOpsApp,2,1,1,Used
do_update,emailops_gui.py,317,EmailOpsApp,0,0,0,Unused
_safe_conv_path,emailops_gui.py,327,EmailOpsApp,6,6,1,Used
_env_int,emailops_gui.py,341,EmailOpsApp,5,2,1,Used
_apply_theme,emailops_gui.py,353,EmailOpsApp,1,1,1,Used
_update_progress_displays,emailops_gui.py,366,EmailOpsApp,0,0,0,Unused
_build_menu,emailops_gui.py,395,EmailOpsApp,1,1,1,Used
_build_header,emailops_gui.py,431,EmailOpsApp,1,1,1,Used
_build_tabs,emailops_gui.py,461,EmailOpsApp,1,1,1,Used
_build_search_tab,emailops_gui.py,506,EmailOpsApp,1,1,1,Used
_toggle_advanced_search,emailops_gui.py,603,EmailOpsApp,0,0,0,Unused
_build_reply_tab,emailops_gui.py,611,EmailOpsApp,1,1,1,Used
_build_fresh_tab,emailops_gui.py,652,EmailOpsApp,1,1,1,Used
_build_chat_tab,emailops_gui.py,697,EmailOpsApp,1,1,1,Used
_build_conversations_tab,emailops_gui.py,733,EmailOpsApp,1,1,1,Used
_build_index_tab,emailops_gui.py,775,EmailOpsApp,1,1,1,Used
_detect_worker_count,emailops_gui.py,812,EmailOpsApp,2,1,1,Used
_view_conversation_txt,emailops_gui.py,819,EmailOpsApp,0,0,0,Unused
_open_attachments_folder,emailops_gui.py,883,EmailOpsApp,0,0,0,Unused
_open_conversation_folder,emailops_gui.py,910,EmailOpsApp,0,0,0,Unused
_open_path,emailops_gui.py,937,EmailOpsApp,3,3,1,Used
_save_text_copy,emailops_gui.py,951,EmailOpsApp,1,1,1,Used
_export_conversation_list,emailops_gui.py,967,EmailOpsApp,0,0,0,Unused
_build_config_tab,emailops_gui.py,998,EmailOpsApp,1,1,1,Used
_build_diagnostics_tab,emailops_gui.py,1082,EmailOpsApp,1,1,1,Used
_build_chunking_tab,emailops_gui.py,1122,EmailOpsApp,1,1,1,Used
_build_analyze_tab,emailops_gui.py,1173,EmailOpsApp,1,1,1,Used
_choose_thread_dir,emailops_gui.py,1222,EmailOpsApp,0,0,0,Unused
_build_batch_tab,emailops_gui.py,1230,EmailOpsApp,1,1,1,Used
_add_from_convs,emailops_gui.py,1270,EmailOpsApp,0,0,0,Unused
_remove_batch_item,emailops_gui.py,1286,EmailOpsApp,0,0,0,Unused
_clear_batch_list,emailops_gui.py,1292,EmailOpsApp,0,0,0,Unused
_run_batch_operation,emailops_gui.py,1297,EmailOpsApp,0,0,0,Unused
read_conv_id,emailops_gui.py,1304,EmailOpsApp,0,0,0,Unused
_build_log_tab,emailops_gui.py,1381,EmailOpsApp,1,1,1,Used
_index_dirname,emailops_gui.py,1402,EmailOpsApp,9,9,1,Used
_on_search,emailops_gui.py,1406,EmailOpsApp,0,0,0,Unused
update_ui,emailops_gui.py,1441,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1504,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1554,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1617,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1743,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1902,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1958,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,1996,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,2014,EmailOpsApp,15,1,1,Used
update_ui,emailops_gui.py,2315,EmailOpsApp,15,1,1,Used
_show_snippet,emailops_gui.py,1456,EmailOpsApp,0,0,0,Unused
_on_draft_reply,emailops_gui.py,1473,EmailOpsApp,0,0,0,Unused
_save_eml_reply,emailops_gui.py,1512,EmailOpsApp,0,0,0,Unused
_on_draft_fresh,emailops_gui.py,1528,EmailOpsApp,0,0,0,Unused
_save_eml_fresh,emailops_gui.py,1562,EmailOpsApp,0,0,0,Unused
_on_chat,emailops_gui.py,1578,EmailOpsApp,0,0,0,Unused
_load_chat_session,emailops_gui.py,1635,EmailOpsApp,0,0,0,Unused
_save_chat_session,emailops_gui.py,1658,EmailOpsApp,0,0,0,Unused
_reset_chat_session,emailops_gui.py,1674,EmailOpsApp,0,0,0,Unused
_load_conversations,emailops_gui.py,1693,EmailOpsApp,0,0,0,Unused
run_load,emailops_gui.py,1699,EmailOpsApp,0,0,0,Unused
_on_list_convs,emailops_gui.py,1720,EmailOpsApp,0,0,0,Unused
_use_selected_conv,emailops_gui.py,1759,EmailOpsApp,0,0,0,Unused
_on_build_index,emailops_gui.py,1777,EmailOpsApp,0,0,0,Unused
run_in_thread,emailops_gui.py,1787,EmailOpsApp,0,0,0,Unused
_apply_config,emailops_gui.py,1832,EmailOpsApp,0,0,0,Unused
_view_config,emailops_gui.py,1877,EmailOpsApp,0,0,0,Unused
_run_diagnostics,emailops_gui.py,1900,EmailOpsApp,0,0,0,Unused
_check_deps,emailops_gui.py,1947,EmailOpsApp,0,0,0,Unused
_check_index,emailops_gui.py,1982,EmailOpsApp,0,0,0,Unused
_test_embeddings,emailops_gui.py,2007,EmailOpsApp,0,0,0,Unused
_validate_credentials,emailops_gui.py,2025,EmailOpsApp,2,2,1,Used
_run_account_setup,emailops_gui.py,2039,EmailOpsApp,0,0,0,Unused
_on_force_rechunk,emailops_gui.py,2049,EmailOpsApp,0,0,0,Unused
_on_incremental_chunk,emailops_gui.py,2107,EmailOpsApp,0,0,0,Unused
needs_update,emailops_gui.py,2127,EmailOpsApp,1,1,1,Used
chunk_one_threadsafe,emailops_gui.py,2150,EmailOpsApp,0,0,0,Unused
_on_surgical_rechunk,emailops_gui.py,2182,EmailOpsApp,0,0,0,Unused
_list_chunked_convs,emailops_gui.py,2237,EmailOpsApp,0,0,0,Unused
_clear_chunks_dir,emailops_gui.py,2263,EmailOpsApp,0,0,0,Unused
_on_analyze_thread,emailops_gui.py,2289,EmailOpsApp,0,0,0,Unused
_drain_logs,emailops_gui.py,2345,EmailOpsApp,0,0,0,Unused
_change_log_level,emailops_gui.py,2368,EmailOpsApp,1,1,1,Used
_save_logs,emailops_gui.py,2378,EmailOpsApp,0,0,0,Unused
_show_about,emailops_gui.py,2395,EmailOpsApp,0,0,0,Unused
_show_docs,emailops_gui.py,2433,EmailOpsApp,0,0,0,Unused
_export_search_results,emailops_gui.py,2506,EmailOpsApp,0,0,0,Unused
_export_chat_history,emailops_gui.py,2541,EmailOpsApp,0,0,0,Unused
_save_analysis_results,emailops_gui.py,2564,EmailOpsApp,0,0,0,Unused
_set_status,emailops_gui.py,2592,EmailOpsApp,15,5,1,Used
_sync_settings_from_ui,emailops_gui.py,2599,EmailOpsApp,2,2,1,Used
_choose_root,emailops_gui.py,2609,EmailOpsApp,0,0,0,Unused
_save_settings,emailops_gui.py,2617,EmailOpsApp,1,1,1,Used
_load_settings,emailops_gui.py,2626,EmailOpsApp,1,1,1,Used
_atomic_write_bytes,email_indexer.py,113,,1,1,1,Used
_atomic_write_text,email_indexer.py,158,,4,3,2,Used
_atomic_write_text,summarize_email_thread.py,1753,,4,3,2,Used
_initialize_gcp_credentials,email_indexer.py,211,,1,1,1,Used
_apply_model_override,email_indexer.py,227,,1,1,1,Used
_get_last_run_time,email_indexer.py,248,,1,1,1,Used
_save_run_time,email_indexer.py,259,,6,1,1,Used
_clean_index_text,email_indexer.py,264,,0,0,0,Unused
_extract_manifest_metadata,email_indexer.py,281,,3,2,1,Used
_materialize_text_for_docs,email_indexer.py,329,,2,1,1,Used
_prefix_from_id,email_indexer.py,355,,3,2,1,Used
_iter_attachment_files,email_indexer.py,382,,1,1,1,Used
_att_id,email_indexer.py,394,,5,3,1,Used
_build_doc_entries,email_indexer.py,424,,1,1,1,Used
build_corpus,email_indexer.py,582,,1,1,1,Used
build_incremental_corpus,email_indexer.py,760,,1,1,1,Used
load_existing_index,email_indexer.py,929,,1,1,1,Used
_local_check_index_consistency,email_indexer.py,962,,1,1,1,Used
save_index,email_indexer.py,988,,2,1,1,Used
_validate_batch,email_indexer.py,1189,,2,1,1,Used
clean_email_text,email_processing.py,66,,11,8,4,Used
extract_email_metadata,email_processing.py,115,,1,1,1,Used
_get,email_processing.py,140,,7,1,1,Used
split_email_thread,email_processing.py,160,,0,0,0,Unused
_parse_date,email_processing.py,188,,1,1,1,Used
_strip_control_chars,file_utils.py,23,,13,11,4,Used
_strip_control_chars,llm_runtime.py,37,,13,11,4,Used
_get_file_encoding,file_utils.py,33,,1,1,1,Used
read_text_file,file_utils.py,54,,5,5,5,Used
ensure_dir,file_utils.py,80,,4,4,2,Used
find_conversation_dirs,file_utils.py,85,,4,4,2,Used
temporary_directory,file_utils.py,93,,0,0,0,Unused
file_lock,file_utils.py,112,,0,0,0,Unused
index_paths,index_metadata.py,107,,15,15,2,Used
_safe_int,index_metadata.py,124,,3,2,1,Used
_norm_vertex_model_name,index_metadata.py,143,,1,1,1,Used
_vertex_dimensions_for_model,index_metadata.py,156,,1,1,1,Used
_resolve_vertex_config,index_metadata.py,190,,2,2,1,Used
_close_memmap,index_metadata.py,214,,5,3,1,Used
_get_all_dimensions,index_metadata.py,233,,1,1,1,Used
_detect_actual_dimensions,index_metadata.py,247,,2,2,1,Used
_detect_faiss_dimensions,index_metadata.py,275,,3,3,1,Used
_detect_faiss_count,index_metadata.py,293,,2,2,1,Used
_detect_index_type,index_metadata.py,313,,2,2,1,Used
_atomic_write_json,index_metadata.py,322,,2,2,1,Used
create_index_metadata,index_metadata.py,375,,1,1,1,Used
save_index_metadata,index_metadata.py,460,,1,1,1,Used
load_index_metadata,index_metadata.py,466,,7,7,4,Used
check_index_consistency,index_metadata.py,493,,2,2,2,Used
_fail,index_metadata.py,550,,3,1,1,Used
_validate_metadata,index_metadata.py,568,,1,1,1,Used
_validate_artifacts,index_metadata.py,589,,1,1,1,Used
_validate_dimensions,index_metadata.py,600,,1,1,1,Used
validate_index_compatibility,index_metadata.py,653,,1,1,1,Used
_gather_index_counts,index_metadata.py,701,,1,1,1,Used
get_index_info,index_metadata.py,748,,0,0,0,Unused
read_mapping,index_metadata.py,805,,7,6,4,Used
write_mapping,index_metadata.py,830,,1,1,1,Used
_rt_attr,llm_client.py,44,,3,3,1,Used
complete_text,llm_client.py,53,,6,4,3,Used
complete_text,llm_runtime.py,517,,6,4,3,Used
complete_json,llm_client.py,61,,5,4,2,Used
complete_json,llm_runtime.py,583,,5,4,2,Used
embed_texts,llm_client.py,69,,12,7,4,Used
embed_texts,llm_runtime.py,675,,12,7,4,Used
complete,llm_client.py,80,,0,0,0,Unused
json_complete,llm_client.py,85,,0,0,0,Unused
embed,llm_client.py,92,,1,1,1,Used
_runtime_exports,llm_client.py,138,,1,1,1,Used
__getattr__,llm_client.py,155,,1,1,1,Used
__dir__,llm_client.py,188,,0,0,0,Unused
_check_rate_limit,llm_runtime.py,67,,11,8,1,Used
load_validated_accounts,llm_runtime.py,150,,2,2,2,Used
save_validated_accounts,llm_runtime.py,256,,0,0,0,Unused
reset_vertex_init,llm_runtime.py,269,,2,2,1,Used
_init_vertex,llm_runtime.py,276,,7,4,1,Used
validate_account,llm_runtime.py,331,,0,0,0,Unused
_ensure_projects_loaded,llm_runtime.py,356,,2,2,1,Used
_rotate_to_next_project,llm_runtime.py,374,,5,3,1,Used
_is_retryable_error,llm_runtime.py,440,,2,2,1,Used
_should_rotate_on,llm_runtime.py,458,,4,3,1,Used
_sleep_with_backoff,llm_runtime.py,463,,2,2,1,Used
_vertex_model,llm_runtime.py,472,,2,2,1,Used
_normalize_model_alias,llm_runtime.py,494,,1,1,1,Used
_extract_json_from_text,llm_runtime.py,569,,1,1,1,Used
_normalize,llm_runtime.py,653,,7,6,1,Used
_embed_vertex,llm_runtime.py,723,,1,1,1,Used
_embed_openai,llm_runtime.py,877,,1,1,1,Used
_embed_azure_openai,llm_runtime.py,902,,1,1,1,Used
_embed_cohere,llm_runtime.py,932,,1,1,1,Used
_embed_huggingface,llm_runtime.py,958,,1,1,1,Used
_embed_qwen,llm_runtime.py,980,,1,1,1,Used
_embed_local,llm_runtime.py,1020,,1,1,1,Used
__post_init__,processing_utils.py,35,ProcessingConfig,0,0,0,Unused
__post_init__,processing_utils.py,65,Person,0,0,0,Unused
get_processing_config,processing_utils.py,49,,1,1,1,Used
age,processing_utils.py,74,Person,0,0,0,Unused
age_on,processing_utils.py,78,Person,1,1,1,Used
getAge,processing_utils.py,88,Person,0,0,0,Unused
monitor_performance,processing_utils.py,93,,0,0,0,Unused
process_items,processing_utils.py,125,BatchProcessor,0,0,0,Unused
prepare_for_indexing,processing_utils.py,189,TextPreprocessor,0,0,0,Unused
_clean_attachment_text,processing_utils.py,248,TextPreprocessor,1,1,1,Used
_clean_document_text,processing_utils.py,263,TextPreprocessor,1,1,1,Used
_basic_clean,processing_utils.py,278,TextPreprocessor,1,1,1,Used
_get_cache_key,processing_utils.py,284,TextPreprocessor,1,1,1,Used
clear_cache,processing_utils.py,291,TextPreprocessor,0,0,0,Unused
should_skip_retrieval_cleaning,processing_utils.py,298,,3,3,1,Used
get_text_preprocessor,processing_utils.py,326,,0,0,0,Unused
_setup_logging,processor.py,75,,1,1,1,Used
_ensure_env,processor.py,126,,4,4,1,Used
_resolve_index_dir,processor.py,135,,4,4,1,Used
_python_module_path,processor.py,140,,1,1,1,Used
_run_email_indexer,processor.py,152,,1,1,1,Used
cmd_index,processor.py,218,,0,0,0,Unused
cmd_reply,processor.py,243,,0,0,0,Unused
cmd_fresh,processor.py,271,,0,0,0,Unused
cmd_chat,processor.py,316,,0,0,0,Unused
_search,processor.py,347,,4,3,2,Used
_search,search_and_draft.py,2458,,4,3,2,Used
_summarize_worker,processor.py,369,,0,0,0,Unused
_iter_conversation_dirs,processor.py,391,,1,1,1,Used
cmd_summarize,processor.py,398,,0,0,0,Unused
cmd_summarize_many,processor.py,422,,0,0,0,Unused
build_cli,processor.py,461,,1,1,1,Used
validate_file_path,search_and_draft.py,101,,6,6,2,Used
validate_file_path,validators.py,122,,6,6,2,Used
log_timing,search_and_draft.py,248,,10,5,1,Used
_log_metric,search_and_draft.py,264,,3,3,1,Used
_get_cached_query_embedding,search_and_draft.py,280,,0,0,0,Unused
_cache_query_embedding,search_and_draft.py,292,,0,0,0,Unused
_get_cached_mapping,search_and_draft.py,310,,0,0,0,Unused
_cache_mapping,search_and_draft.py,331,,0,0,0,Unused
_safe_int_env,search_and_draft.py,352,,0,0,0,Unused
_safe_float_env,search_and_draft.py,360,,0,0,0,Unused
_safe_json_load,search_and_draft.py,368,,0,0,0,Unused
_line_is_injectionish,search_and_draft.py,380,,1,1,1,Used
_hard_strip_injection,search_and_draft.py,390,,6,3,1,Used
_parse_bullet_response_draft,search_and_draft.py,402,,3,1,1,Used
_parse_bullet_response_chat,search_and_draft.py,467,,1,1,1,Used
_find_conv_ids_by_subject,search_and_draft.py,524,,0,0,0,Unused
_parse_date_any,search_and_draft.py,537,,7,3,1,Used
_boost_scores_for_indices,search_and_draft.py,555,,3,3,1,Used
_ensure_embeddings_ready,search_and_draft.py,587,,3,3,1,Used
_resolve_effective_provider,search_and_draft.py,622,,4,4,1,Used
_safe_read_text,search_and_draft.py,636,,2,2,1,Used
_clean_addr,search_and_draft.py,646,,4,2,1,Used
_dedupe_keep_order,search_and_draft.py,650,,5,3,1,Used
list_conversations_newest_first,search_and_draft.py,667,,2,2,1,Used
_window_text_around_query,search_and_draft.py,697,,1,1,1,Used
_sanitize_header_value,search_and_draft.py,719,,6,1,1,Used
_bidirectional_expand_text,search_and_draft.py,730,,1,1,1,Used
_deduplicate_chunks,search_and_draft.py,746,,1,1,1,Used
_safe_stat_mb,search_and_draft.py,773,,2,2,1,Used
_parse_iso_date,search_and_draft.py,797,,4,2,1,Used
parse_filter_grammar,search_and_draft.py,817,,3,3,2,Used
_norm_email_field,search_and_draft.py,869,,3,1,1,Used
apply_filters,search_and_draft.py,884,,2,2,1,Used
validate_context_quality,search_and_draft.py,930,,1,1,1,Used
select_relevant_attachments,search_and_draft.py,948,,1,1,1,Used
_select_attachments_from_citations,search_and_draft.py,977,,1,1,1,Used
_select_attachments_from_mentions,search_and_draft.py,1011,,1,1,1,Used
_clamp_body_length,search_and_draft.py,1045,,1,1,1,Used
calculate_draft_confidence,search_and_draft.py,1050,,1,1,1,Used
_embed_query_compatible,search_and_draft.py,1074,,2,2,1,Used
_sim_scores_for_indices,search_and_draft.py,1085,,2,2,1,Used
_char_budget_from_tokens,search_and_draft.py,1089,,4,4,1,Used
_candidate_summary_text,search_and_draft.py,1099,,3,3,1,Used
_mmr_select,search_and_draft.py,1109,,3,3,1,Used
_blend_scores,search_and_draft.py,1134,,3,3,1,Used
_gather_context_for_conv,search_and_draft.py,1144,,1,1,1,Used
_gather_context_fresh,search_and_draft.py,1288,,1,1,1,Used
_normalize_email_field,search_and_draft.py,1434,,8,4,1,Used
_extract_messages_from_manifest,search_and_draft.py,1449,,1,1,1,Used
_effective_subject,search_and_draft.py,1495,,1,1,1,Used
_load_conv_data,search_and_draft.py,1509,,1,1,1,Used
_derive_query_from_last_inbound,search_and_draft.py,1532,,1,1,1,Used
_derive_recipients_for_reply,search_and_draft.py,1554,,1,1,1,Used
_derive_subject_for_reply,search_and_draft.py,1581,,1,1,1,Used
_last_inbound_message,search_and_draft.py,1586,,2,2,1,Used
draft_email_structured,search_and_draft.py,1601,,2,2,1,Used
_audit_json,search_and_draft.py,1889,,2,1,1,Used
_passes,search_and_draft.py,1910,,1,1,1,Used
_build_eml,search_and_draft.py,1998,,2,2,1,Used
draft_email_reply_eml,search_and_draft.py,2057,,4,4,3,Used
_is_list_addr,search_and_draft.py,2126,,1,1,1,Used
draft_fresh_email_eml,search_and_draft.py,2171,,3,3,3,Used
_sanitize_session_id,search_and_draft.py,2240,,1,1,1,Used
session_path,search_and_draft.py,2265,ChatSession,0,0,0,Unused
save,search_and_draft.py,2299,ChatSession,10,8,3,Used
save,unified_config.py,89,UnifiedConfig,10,8,3,Used
reset,search_and_draft.py,2310,ChatSession,2,2,2,Used
add_message,search_and_draft.py,2318,ChatSession,4,2,2,Used
recent,search_and_draft.py,2325,ChatSession,2,2,2,Used
_format_chat_history_for_prompt,search_and_draft.py,2332,,2,2,1,Used
_build_search_query_from_history,search_and_draft.py,2345,,0,0,0,Unused
chat_with_context,search_and_draft.py,2354,,3,3,3,Used
_extract_first_balanced_json_object,summarize_email_thread.py,74,,2,1,1,Used
_try_load_json,summarize_email_thread.py,141,,4,1,1,Used
_safe_str,summarize_email_thread.py,233,,7,3,1,Used
_coerce_enum,summarize_email_thread.py,250,,4,1,1,Used
_md_escape,summarize_email_thread.py,281,,25,1,1,Used
_normalize_name,summarize_email_thread.py,298,,6,4,1,Used
_normalize_subject_line,summarize_email_thread.py,313,,2,2,1,Used
_normalize_analysis,summarize_email_thread.py,349,,6,2,1,Used
_read_manifest,summarize_email_thread.py,577,,1,1,1,Used
_participants_from_manifest,summarize_email_thread.py,622,,1,1,1,Used
_mk,summarize_email_thread.py,647,,3,1,1,Used
_merge_manifest_into_analysis,summarize_email_thread.py,697,,1,1,1,Used
_union_analyses,summarize_email_thread.py,842,,1,1,1,Used
_norm_key,summarize_email_thread.py,856,,20,1,1,Used
_calc_max_output_tokens,summarize_email_thread.py,1014,,1,1,1,Used
_llm_routing_kwargs,summarize_email_thread.py,1030,,1,1,1,Used
format_analysis_as_markdown,summarize_email_thread.py,1627,,4,4,3,Used
_safe_csv_cell,summarize_email_thread.py,1779,,6,1,1,Used
_append_todos_csv,summarize_email_thread.py,1788,,2,2,2,Used
analyze_conversation_dir_sync,summarize_email_thread.py,1936,,0,0,0,Unused
_apply_progressive_scaling,text_chunker.py,56,,2,2,1,Used
_compute_breakpoints,text_chunker.py,88,,1,1,1,Used
_ranges_with_overlap,text_chunker.py,107,,2,2,1,Used
chunk_text,text_chunker.py,189,TextChunker,0,0,0,Unused
prepare_index_units,text_chunker.py,234,,8,6,2,Used
_is_cache_valid,text_extraction.py,55,,2,1,1,Used
_html_to_text,text_extraction.py,61,,4,3,1,Used
_extract_text_from_doc_win32,text_extraction.py,82,,1,1,1,Used
_extract_eml,text_extraction.py,105,,1,1,1,Used
_extract_msg,text_extraction.py,150,,1,1,1,Used
extract_text,text_extraction.py,202,,2,2,2,Used
_extract_word_document,text_extraction.py,300,,1,1,1,Used
_extract_powerpoint,text_extraction.py,341,,1,1,1,Used
_extract_rtf,text_extraction.py,365,,1,1,1,Used
_extract_pdf,text_extraction.py,381,,1,1,1,Used
_extract_excel,text_extraction.py,426,,1,1,1,Used
_iter_sheets,text_extraction.py,436,,2,1,1,Used
scrub_json_string,utils.py,17,,5,5,2,Used
scrub_json,utils.py,63,,7,4,3,Used
validate_directory_path,validators.py,65,,4,4,2,Used
sanitize_path_input,validators.py,188,,1,1,1,Used
validate_command_args,validators.py,210,,1,1,1,Used
quote_shell_arg,validators.py,238,,0,0,0,Unused
validate_project_id,validators.py,253,,0,0,0,Unused
validate_environment_variable,validators.py,287,,0,0,0,Unused
validate_email_format,validators.py,318,,0,0,0,Unused
sanitize_path_input_report,validators.py,377,,0,0,0,Unused
_maybe_expand_vars,validators.py,383,,2,2,1,Used
validate_directory_path_info,validators.py,388,,0,0,0,Unused
validate_file_path_info,validators.py,407,,0,0,0,Unused
